"	amplitude_id","	user_id","	city","	country","	device","	device_type","	dma","	gt:acc_id","	ip_address","	language","	library","	os","	platform","	region","	gp:fbclid","	gp:gclid","	gp:initial_fbclid","	gp:initial_gclid","	gp:initial_referrer","	gp:initial_referring_domain","	gp:initial_utm_campaign","	gp:initial_utm_content","	gp:initial_utm_medium","	gp:initial_utm_source","	gp:initial_utm_term","	gp:referrer","	gp:referring_domain","	gp:user_accounts_created","	gp:user_cookie_campaign","	gp:user_cookie_content","	gp:user_cookie_fbclid","	gp:user_cookie_gclid","	gp:user_cookie_http_referrer","	gp:user_cookie_keyword","	gp:user_cookie_lp_full","	gp:user_cookie_lpcleaned","	gp:user_cookie_medium","	gp:user_cookie_source","	gp:user_invited","	gp:user_latest_nps","	gp:user_mrr","	gp:user_obsurvey_business_type","	gp:user_obsurvey_current_tool","	gp:user_obsurvey_main_activity","	gp:user_obsurvey_start_when","	gp:user_obsurvey_used_before","	gp:user_signup_howwemet","	gp:user_total_accounts","	gp:user_total_logins","	gp:user_users_invited","	gp:utm_campaign","	gp:utm_content","	gp:utm_medium","	gp:utm_source","	gp:utm_term"
"	285552544242","	610da8bb4ee18a7a145dd87d","	Valencia","	Spain","	Mac","	Mac","	","	","	95.17.73.175","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Valencia","	","	","	","	","	https://www.google.com/","	www.google.com","	welcome_1","	","	email","	mailgun","	","	https://www.google.com/","	www.google.com","	1","	","	","	","	","	","	","	","	","	","	","	false","	","	0","	both","	penpaper","	invoicing","	browsing","	never","	","	1","	4","	","	welcome_1","	","	email","	mailgun","	"
"	272732883448","	60d34fc761cc82018d357c2b","	Valencia","	Spain","	Linux","	Linux","	","	","	2.136.141.126","	English","	amplitude-js/8.1.0","	Firefox 90","	Web","	Valencia","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	null","	","	https://app.holded.com/tp/witrac","	https://app.holded.com/tp/witrac","	referal","	","	true","	","	","	","	","	","	","	","	","	","	52","	","	","	","	","	","	"
"	210976041471","	5c731b04a2656479b31ab4e1","	Bilbao","	Spain","	Windows","	Windows","	","	","	77.227.142.108","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Biscay","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	0","	","	","	","	","	","	","	1","	42","	","	","	","	","	","	"
"	223335901697","	5a02ccf81c9798706c04c651","	La Granada","	Spain","	Mac","	Mac","	","	","	185.73.168.79","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Barcelona","	","	","	","	","	https://www.holded.com/","	www.holded.com","	","	","	","	","	","	https://www.holded.com/","	www.holded.com","	","	","	","	","	","	","	","	","	","	","	","	","	7.0","	10.0","	","	","	","	","	","	","	4","	34","	","	","	","	","	","	"
"	226456414724","	6006b18f4d161e2aba579ac0","	Ontinyent","	Spain","	Windows","	Windows","	","	","	92.172.166.137","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Valencia","	","	","	","	","	","	","	","	","	","	","	","	","	","	1","	brand_10388931271","	104378540118_444763332398","	","	CjwKCAjwzIH7BRAbEiwAoDxxTuJrRaGVYEJKbWNDKXz1gRhdb8cEw4Is1d269_7ZGXedl1b0kUxLchoChUgQAvD_BwE","	","	holded","	https://www.holded.com/es?utm_source=google&utm_medium=cpc&utm_campaign=brand_10388931271&utm_content=104378540118_444763332398&utm_term=holded&hld_device=c&hld_network=g&hld_matchtype=e&hsa_acc=7276020979&hsa_ad=444763332398&hsa_mt=e&hsa_kw=holded&hsa_ver=3&hsa_src=g&hsa_cam=739393910&hsa_grp=104378540118&hsa_net=adwords&hsa_tgt=aud-908037080132:kwd-314272695052&gclid=CjwKCAjwzIH7BRAbEiwAoDxxTuJrRaGVYEJKbWNDKXz1gRhdb8cEw4Is1d269_7ZGXedl1b0kUxLchoChUgQAvD_BwE","	https://www.holded.com/es","	cpc","	google","	false","	","	0","	services","	nothing","	invoicing","	now","	never","	","	1","	19","	","	","	","	","	","	"
"	160247327238","	5e4d1d5b6a97281c5f236e55","	Elda","	Spain","	","	","	","	","	89.29.220.217","	Spanish","	batch/1.0","	","	web","	Alicante","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	84.0","	","	","	","	","	","	","	1","	155","	3","	","	","	","	","	"
"	219792861703","	5f6defbaaff70b032d1e2a7f","	Sant Boi de Llobregat","	Spain","	Mac","	Mac","	","	","	188.79.81.129","	Spanish","	amplitude-js/8.1.0","	Firefox 78","	Web","	Barcelona","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	0","	","	","	","	","	","	","	1","	30","	1","	","	","	","	","	"
"	291432819207","	61265298ad1c7e39957e87a8","	Pineda de Mar","	Spain","	Mac","	Mac","	","	[""6126542ee882af119a35f79a""]","	95.19.72.44","	English","	amplitude-js/8.1.0","	Chrome 92","	Web","	Barcelona","	","	CjwKCAjw1JeJBhB9EiwAV612y8BQgOEbY3E7Kv1mdcg5lmDltVXeLVt-yTY6ZRCjjOOgpvAYuDtPoBoC7RYQAvD_BwE","	","	CjwKCAjw1JeJBhB9EiwAV612y8BQgOEbY3E7Kv1mdcg5lmDltVXeLVt-yTY6ZRCjjOOgpvAYuDtPoBoC7RYQAvD_BwE","	https://www.google.com/","	www.google.com","	dsa_1330918973","	122404424823_528503650798","	cpc","	google","	","	https://www.google.com/","	www.google.com","	1","	dsa_1330918973","	122404424823_528503650798","	","	CjwKCAjw1JeJBhB9EiwAV612y8BQgOEbY3E7Kv1mdcg5lmDltVXeLVt-yTY6ZRCjjOOgpvAYuDtPoBoC7RYQAvD_BwE","	https://www.google.com/","	","	https://www.holded.com/es/blog/5-plantillas-de-excel-gratis?utm_adgroupid=122404424823&utm_keyword=&campaignid=1330918973&adgroupid=122404424823&adid=528503650798&hld_device=c&hld_network=g&hld_matchtype=b&utm_source=google&utm_medium=cpc&utm_campaign=dsa_1330918973&utm_term=&utm_content=122404424823_528503650798&hsa_src=g&hsa_kw=&hsa_mt=b&hsa_acc=7276020979&hsa_grp=122404424823&hsa_ad=528503650798&hsa_cam=1330918973&hsa_tgt=dsa-1326761121316&hsa_net=adwords&hsa_ver=3&gclid=CjwKCAjw1JeJBhB9EiwAV612y8BQgOEbY3E7Kv1mdcg5lmDltVXeLVt-yTY6ZRCjjOOgpvAYuDtPoBoC7RYQAvD_BwE","	https://www.holded.com/es/blog/5-plantillas-de-excel-gratis","	cpc","	google","	false","	","	0","	both","	spreadsheet","	team","	browsing","	never","	Word of mouth","	0","	1","	","	dsa_1330918973","	122404424823_528503650798","	cpc","	google","	"
"	275090278918","	60ddd0bef56dc25c655310cd","	","	Spain","	Apple iPhone","	Apple iPhone","	","	","	31.221.188.91","	Spanish","	amplitude-js/8.1.0","	WebKit 605","	Web","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	1","	brand_10388931271","	104378540118_444673368885","	","	CjwKCAjwz_WGBhA1EiwAUAxIcWlheFnQ7q9jybs7eE_R0qMHTeZriMG3DUVyolN2nIlEwJLXa1lu3BoCh4wQAvD_BwE","	https://www.google.com/","	holded","	https://www.holded.com/es?utm_source=google&utm_medium=cpc&utm_campaign=brand_10388931271&utm_content=104378540118_444673368885&utm_term=holded&hld_device=c&hld_network=g&hld_matchtype=e&hsa_acc=7276020979&hsa_ad=444673368885&hsa_mt=e&hsa_kw=holded&hsa_ver=3&hsa_src=g&hsa_cam=10388931271&hsa_grp=104378540118&hsa_net=adwords&hsa_tgt=kwd-314272695052&gclid=CjwKCAjwz_WGBhA1EiwAUAxIcWlheFnQ7q9jybs7eE_R0qMHTeZriMG3DUVyolN2nIlEwJLXa1lu3BoCh4wQAvD_BwE","	https://www.holded.com/es","	cpc","	google","	false","	","	0","	both","	spreadsheet","	invoicing","	browsing","	never","	Social","	1","	7","	","	","	","	","	","	"
"	276276201994","	60e354798e7bab011620f24a","	Villanueva de la Serena","	Spain","	","	","	","	","	46.25.230.201","	Spanish","	http/2.0","	","	web","	Badajoz","	","	CjwKCAjw3_KIBhA2EiwAaAAlivzQwp0P4mdiBX6wQZ6udSKzQ1RlcsRgEV1_cOsBqjf4CU1sl1lLNRoC0VMQAvD_BwE","	","	CjwKCAjw3_KIBhA2EiwAaAAlivzQwp0P4mdiBX6wQZ6udSKzQ1RlcsRgEV1_cOsBqjf4CU1sl1lLNRoC0VMQAvD_BwE","	https://www.google.com/","	www.google.com","	brand_10388931271","	104378540118_528482043805","	cpc","	google","	holded","	https://www.google.com/","	www.google.com","	1","	generic_9761431352","	99228401269_462681156178","	","	CjwKCAjw2ZaGBhBoEiwA8pfP_q8jnTpW5QYhi1f61FGp2XZl76OJXS-9wklqn5xmC-J5g3APS0F3whoCvHoQAvD_BwE","	https://www.google.com/","	+programa +facturación","	https://www.holded.com/es/programa-facturacion?h1=El+mejor+programa+de+facturaci%C3%B3n+online+del+mercado&utm_source=google&utm_medium=cpc&utm_campaign=generic_9761431352&utm_content=99228401269_462681156178&utm_term=%2Bprograma%20%2Bfacturaci%C3%B3n&hld_device=c&hld_network=g&hld_matchtype=b&hsa_acc=7276020979&hsa_ad=462681156178&hsa_mt=b&hsa_kw=%2Bprograma%20%2Bfacturaci%C3%B3n&hsa_ver=3&hsa_src=g&hsa_cam=9761431352&hsa_grp=99228401269&hsa_net=adwords&hsa_tgt=kwd-37868251197&gclid=CjwKCAjw2ZaGBhBoEiwA8pfP_q8jnTpW5QYhi1f61FGp2XZl76OJXS-9wklqn5xmC-J5g3APS0F3whoCvHoQAvD_BwE","	https://www.holded.com/es/programa-facturacion","	cpc","	google","	false","	","	0","	retails","	cloudsoftware","	invoicing","	now","	never","	Search engine","	1","	11","	","	brand_10388931271","	104378540118_528482043805","	cpc","	google","	holded"
"	286031260169","	61100689ce1e1b77ca515d7f","	Madrid","	Spain","	Apple iPhone","	Apple iPhone","	","	","	188.26.215.123","	Spanish","	amplitude-js/8.1.0","	Mobile Safari 14","	Web","	Madrid","	","	CjwKCAjwgb6IBhAREiwAgMYKRofCbb_tROVdbaIv1eQI64Xja6OvP78zbRu3Pf9qp1OuOh-2Xo66SxoCtuIQAvD_BwE","	","	CjwKCAjwgb6IBhAREiwAgMYKRofCbb_tROVdbaIv1eQI64Xja6OvP78zbRu3Pf9qp1OuOh-2Xo66SxoCtuIQAvD_BwE","	https://www.google.com.do","	www.google.com.do","	welcome_1","	61706694846_525565262824","	email","	mailgun","	","	https://www.google.com.do","	www.google.com.do","	","	dsa_1330918973","	61706694846_525565262824","	","	CjwKCAjwgb6IBhAREiwAgMYKRofCbb_tROVdbaIv1eQI64Xja6OvP78zbRu3Pf9qp1OuOh-2Xo66SxoCtuIQAvD_BwE","	https://www.google.com.do/","	","	https://www.holded.com/es/blog/como-saber-estoy-dado-alta-seguridad-social?utm_adgroupid=61706694846&utm_keyword=&campaignid=1330918973&adgroupid=61706694846&adid=525565262824&hld_device=m&hld_network=g&hld_matchtype=b&utm_source=google&utm_medium=cpc&utm_campaign=dsa_1330918973&utm_term=&utm_content=61706694846_525565262824&hsa_src=g&hsa_kw=&hsa_mt=b&hsa_acc=7276020979&hsa_grp=61706694846&hsa_ad=525565262824&hsa_cam=1330918973&hsa_tgt=dsa-581135182015&hsa_net=adwords&hsa_ver=3&gclid=CjwKCAjwgb6IBhAREiwAgMYKRofCbb_tROVdbaIv1eQI64Xja6OvP78zbRu3Pf9qp1OuOh-2Xo66SxoCtuIQAvD_BwE","	https://www.holded.com/es/blog/como-saber-estoy-dado-alta-seguridad-social","	cpc","	google","	false","	","	","	","	","	","	","	","	","	","	1","	","	welcome_1","	61706694846_525565262824","	email","	mailgun","	"
"	294290287113","	6131ca733243c460d756bff7","	Valencia","	Spain","	Windows","	Windows","	","	[""6131caafffb22f3e5237eced""]","	62.36.9.116","	Spanish","	amplitude-js/8.1.0","	Chrome 93","	Web","	Valencia","	","	","	","	","	https://www.google.com/","	www.google.com","	","	","	","	","	","	https://www.google.com/","	www.google.com","	1","	","	","	","	","	https://www.google.com/","	","	https://www.holded.com/es","	https://www.holded.com/es","	referal","	google.com","	false","	","	0","	services","	spreadsheet","	invoicing","	browsing","	never","	Word of mouth","	1","	1","	","	","	","	","	","	"
"	278101010962","	60ebe82885c0d3589221f154","	Madrid","	Spain","	Windows","	Windows","	","	","	45.84.211.33","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Madrid","	","	","	","	","	https://app.holded.com/treasury/6093a29c0809fe73247e0470","	app.holded.com","	608915ccbd8649186c1cdddd","	608915ab3e15723631066138","	referral","	team_invite","	","	https://app.holded.com/treasury/6093a29c0809fe73247e0470","	app.holded.com","	","	608915ccbd8649186c1cdddd","	608915ab3e15723631066138","	","	","	null","	","	https://app.holded.com/signup?lang=es&email=mvilajeliu@tax.es&utm_source=team_invite&utm_medium=referral&utm_campaign=608915ccbd8649186c1cdddd&utm_content=608915ab3e15723631066138&teaminvite=1&companyname=Flotando%20sobre%20loscos%20S.L.","	https://app.holded.com/signup","	referral","	team_invite","	true","	","	","	","	","	","	","	","	","	","	2","	","	608915ccbd8649186c1cdddd","	608915ab3e15723631066138","	referral","	team_invite","	"
"	225049004563","	60000314760adb083b533d4f","	Barcelona","	Spain","	Mac","	Mac","	","	","	88.14.242.40","	English","	amplitude-js/8.1.0","	Safari 14","	Web","	Barcelona","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	https://www.holded.com/es/precios","	https://www.holded.com/es/precios","	referal","	","	true","	10","	29","	","	","	","	","	","	","	1","	98","	","	","	","	","	","	"
"	200657578517","	5e9f0d356a972863673c261b","	Gáldar","	Spain","	Mac","	Mac","	","	","	81.34.78.95","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Las Palmas","	","	","	","	","	","	","	","	","	","	","	","	","	","	1","	","	","	","	","	","	","	","	","	","	","	","	10.0","	60.0","	","	","	","	","	","	","	5","	107","	2","	","	","	","	","	"
"	291958811159","	6128351ad9d8ea7744723250","	Madrid","	Spain","	Windows","	Windows","	","	[""612835259213950f171fb6f7""]","	79.116.65.134","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Madrid","	","	CjwKCAjw95yJBhAgEiwAmRrutCcXOefnzldAAy9AVpHDudbAU9JIWLe5J309YGhbPISWC6wFdYZxWBoCvuUQAvD_BwE","	","	CjwKCAjw95yJBhAgEiwAmRrutCcXOefnzldAAy9AVpHDudbAU9JIWLe5J309YGhbPISWC6wFdYZxWBoCvuUQAvD_BwE","	https://www.google.com/","	www.google.com","	generic_9761431352","	100307281326_436243960686","	cpc","	google","	plantilla factura excel","	https://www.google.com/","	www.google.com","	1","	generic_9761431352","	100307281326_436243960686","	","	CjwKCAjw95yJBhAgEiwAmRrutCcXOefnzldAAy9AVpHDudbAU9JIWLe5J309YGhbPISWC6wFdYZxWBoCvuUQAvD_BwE","	https://www.google.com/","	plantilla factura excel","	https://www.holded.com/es/programa-facturacion?utm_source=google&utm_medium=cpc&utm_campaign=generic_9761431352&utm_content=100307281326_436243960686&utm_term=plantilla%20factura%20excel&hld_device=c&hld_network=g&hld_matchtype=p&hsa_acc=7276020979&hsa_ad=436243960686&hsa_mt=p&hsa_kw=plantilla%20factura%20excel&hsa_ver=3&hsa_src=g&hsa_cam=9761431352&hsa_grp=100307281326&hsa_net=adwords&hsa_tgt=kwd-29975355957&gclid=CjwKCAjw95yJBhAgEiwAmRrutCcXOefnzldAAy9AVpHDudbAU9JIWLe5J309YGhbPISWC6wFdYZxWBoCvuUQAvD_BwE","	https://www.holded.com/es/programa-facturacion","	cpc","	google","	false","	","	0","	retails","	cloudsoftware","	invoicing","	browsing","	never","	","	0","	1","	","	generic_9761431352","	100307281326_436243960686","	cpc","	google","	plantilla factura excel"
"	289209354776","	611ce14c48e05f06f46162d2","	Mostoles","	Spain","	Android","	Android","	","	[""611ce16403734859f102b3e2""]","	188.26.197.118","	Spanish","	amplitude-js/8.1.0","	Chrome Mobile 92","	Web","	Madrid","	","	CjwKCAjw3_KIBhA2EiwAaAAliptlcmCXXmIoprTm4VUQikHy74G1pC67y4IMmFgQqZ6JJjdZHpwDLRoCxxUQAvD_BwE","	","	CjwKCAjw3_KIBhA2EiwAaAAliptlcmCXXmIoprTm4VUQikHy74G1pC67y4IMmFgQqZ6JJjdZHpwDLRoCxxUQAvD_BwE","	https://www.google.com/","	www.google.com","	dsa_1330918973","	125354356442_528264896087","	cpc","	google","	","	https://www.google.com/","	www.google.com","	1","	dsa_1330918973","	125354356442_528264896087","	","	CjwKCAjw3_KIBhA2EiwAaAAliptlcmCXXmIoprTm4VUQikHy74G1pC67y4IMmFgQqZ6JJjdZHpwDLRoCxxUQAvD_BwE","	https://www.google.com/","	","	https://www.holded.com/es/blog/certificado-digital-sirve-obtenerlo?utm_adgroupid=125354356442&utm_keyword=&campaignid=1330918973&adgroupid=125354356442&adid=528264896087&hld_device=m&hld_network=g&hld_matchtype=b&utm_source=google&utm_medium=cpc&utm_campaign=dsa_1330918973&utm_term=&utm_content=125354356442_528264896087&hsa_src=g&hsa_kw=&hsa_mt=b&hsa_acc=7276020979&hsa_grp=125354356442&hsa_ad=528264896087&hsa_cam=1330918973&hsa_tgt=dsa-1323978448948&hsa_net=adwords&hsa_ver=3&gclid=CjwKCAjw3_KIBhA2EiwAaAAliptlcmCXXmIoprTm4VUQikHy74G1pC67y4IMmFgQqZ6JJjdZHpwDLRoCxxUQAvD_BwE","	https://www.holded.com/es/blog/certificado-digital-sirve-obtenerlo","	cpc","	google","	false","	","	0","	","	","	","	","	","	Team invite","	0","	1","	","	dsa_1330918973","	125354356442_528264896087","	cpc","	google","	"
"	272648456727","	60d2f7e4df5acb33e272686e","	Osuna","	Spain","	Windows","	Windows","	","	","	185.67.104.81","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Seville","	","	","	","	","	https://app.holded.com/sales/revenue","	app.holded.com","	","	","	","	","	","	https://app.holded.com/sales/revenue","	app.holded.com","	1","	portaldoc","	","	","	","	null","	","	https://app.holded.com/portaldoc/estimate/8896b-60990137ccfbc83446774e28?utm_campaign=portaldoc&utm_medium=email&utm_source=holded","	https://app.holded.com/portaldoc/estimate/8896b-60990137ccfbc83446774e28","	email","	holded","	false","	10","	0","	services","	spreadsheet","	invoicing","	now","	fewtimes","	Social","	1","	13","	","	","	","	","	","	"
"	221052570143","	5d2c65986a9728489e29e22e","	Barcelona","	Spain","	Android","	Android","	","	","	31.4.201.140","	Spanish","	amplitude-js/8.1.0","	Chrome Mobile 92","	Web","	Barcelona","	","	Cj0KCQjwjo2JBhCRARIsAFG667VKJRd84Gqo7mr6q2BSGkWXkZ_EvqoL-Wqf_pFQD8Swu7ZH1HWO9BAaAtXsEALw_wcB","	","	Cj0KCQjwjo2JBhCRARIsAFG667VKJRd84Gqo7mr6q2BSGkWXkZ_EvqoL-Wqf_pFQD8Swu7ZH1HWO9BAaAtXsEALw_wcB","	https://www.holded.com/es","	www.holded.com","	brand_10388931271","	104378540118_444763332398","	cpc","	google","	holded","	https://app.holded.com/accounts?origin=holded&login_success_source=web","	app.holded.com","	","	","	","	","	","	","	","	","	","	","	","	","	10","	0","	","	","	","	","	","	","	2","	20","	","	brand_10388931271","	104378540118_444763332398","	cpc","	google","	holded"
"	238261463585","	603d164903468206c6247404","	","	Spain","	Windows","	Windows","	","	","	212.230.180.112","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	","	","	","	","	","	https://www.google.com/","	www.google.com","	","	","	","	","	","	https://www.google.com/","	www.google.com","	1","	","	","	","	","	","	","	https://www.holded.com/es","	https://www.holded.com/es","	organic","	bing.com","	false","	9","	0","	services","	spreadsheet","	invoicing","	browsing","	never","	Other","	1","	38","	","	","	","	","	","	"
"	234594511398","	602bace8d433bc62365f1263","	Benicassim","	Spain","	Mac","	Mac","	","	","	79.150.81.42","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Castellon","	","	","	","	","	https://app.holded.com/recover","	app.holded.com","	","	","	","	","	","	https://app.holded.com/recover","	app.holded.com","	1","	brand_10388931271","	104378540118_444673368885","	","	Cj0KCQiA962BBhCzARIsAIpWEL0Jb_9itC1HczalN3uVO3boQeGNX8Jw2_vkQ8gvx1ei2rsjaq9TbA0aAsaMEALw_wcB","	","	holded","	https://www.holded.com/es?utm_source=google&utm_medium=cpc&utm_campaign=brand_10388931271&utm_content=104378540118_444673368885&utm_term=holded&hld_device=c&hld_network=g&hld_matchtype=e&hsa_acc=7276020979&hsa_ad=444673368885&hsa_mt=e&hsa_kw=holded&hsa_ver=3&hsa_src=g&hsa_cam=10388931271&hsa_grp=104378540118&hsa_net=adwords&hsa_tgt=aud-392099244214:kwd-314272695052&gclid=Cj0KCQiA962BBhCzARIsAIpWEL0Jb_9itC1HczalN3uVO3boQeGNX8Jw2_vkQ8gvx1ei2rsjaq9TbA0aAsaMEALw_wcB","	https://www.holded.com/es","	cpc","	google","	false","	","	0.0","	both","	cloudsoftware","	crm","	browsing","	never","	Word of mouth","	0","	14","	","	","	","	","	","	"
"	278437980710","	60ed725d15b4df7a8c50c111","	Málaga","	Spain","	Windows","	Windows","	","	","	92.177.117.103","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Malaga","	","	","	","	","	","	","	welcome_1","	","	email","	mailgun","	","	","	","	","	5e3006386a972847ad6464d3","	5e3005d46a97283fc35080ea","	","	","	null","	","	https://app.holded.com/signup?lang=es&email=bWFyaWF0ZXJlc2FiZW5pdGV6Z0BnbWFpbC5jb20&utm_source=team_invite&utm_medium=referral&utm_campaign=5e3006386a972847ad6464d3&utm_content=5e3005d46a97283fc35080ea&teaminvite=1&companyname=IF%20Open%20Innovation%20S.L.","	https://app.holded.com/signup","	referral","	team_invite","	true","	","	","	","	","	","	","	","	","	","	7","	","	welcome_1","	","	email","	mailgun","	"
"	258364443176","	6094e3fc3abff70ba131c1e3","	Barcelona","	Spain","	Windows","	Windows","	","	","	213.27.245.178","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Barcelona","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	false","	","	49","	","	","	","	","	","	","	1","	31","	","	","	","	","	","	"
"	270820878898","	60ca56db21e68f10314e8f7f","	Valencia","	Spain","	Windows","	Windows","	","	","	84.123.93.239","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Valencia","	","	","	","	","	","	","	","	","	","	","	","	","	","	1","	","	","	","	","	null","	","	https://app.holded.com/login?lang=es","	https://app.holded.com/login","	referal","	","	false","	","	0","	services","	desktopsoftware","	invoicing","	now","	fewtimes","	Other","	1","	15","	","	","	","	","	","	"
"	241425852981","	604b3d68494c1e691a41ca06","	Murcia","	Spain","	Windows","	Windows","	","	","	62.175.46.76","	English","	amplitude-js/8.1.0","	Chrome 91","	Web","	Murcia","	","	","	","	","	","	","	","	","	","	","	","	","	","	1","	generic_12297722600","	116999316229_461452687883","	","	Cj0KCQiAvbiBBhD-ARIsAGM48bwxN1ERShB_CgKQx49bmUZWcdBIEtPTYlJKx806yS-6HeYYtlYuDfAaAoVjEALw_wcB","	","	factura online","	https://www.holded.com/es/programa-facturacion?h1=Factura+online+a+tus+clientes+de+una+manera+f%C3%A1cil+y+r%C3%A1pida&utm_source=google&utm_medium=cpc&utm_campaign=generic_12297722600&utm_content=116999316229_461452687883&utm_term=factura%20online&hld_device=c&hld_network=g&hld_matchtype=e&hsa_acc=7276020979&hsa_ad=461452687883&hsa_mt=e&hsa_kw=factura%20online&hsa_ver=3&hsa_src=g&hsa_cam=12297722600&hsa_grp=116999316229&hsa_net=adwords&hsa_tgt=kwd-8141581387&gclid=Cj0KCQiAvbiBBhD-ARIsAGM48bwxN1ERShB_CgKQx49bmUZWcdBIEtPTYlJKx806yS-6HeYYtlYuDfAaAoVjEALw_wcB","	https://www.holded.com/es/programa-facturacion","	cpc","	google","	false","	","	0.0","	retails","	desktopsoftware","	invoicing","	browsing","	manytimes","	Referral","	1","	6","	","	","	","	","	","	"
"	268996651578","	5e737ba06a9728290b54d96b","	León","	Spain","	Windows","	Windows","	","	","	213.177.215.150","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Leon","	","	","	","	","	https://app.holded.com/tp/geotelecom","	app.holded.com","	","	","	","	","	","	https://app.holded.com/tp/geotelecom","	app.holded.com","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	11","	","	","	","	","	","	"
"	264464747067","	60ae14bfe423c06a524a7f39","	Barcelona","	Spain","	Mac","	Mac","	","	","	62.83.249.91","	Catalan","	amplitude-js/8.1.0","	Chrome 92","	Web","	Barcelona","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	false","	","	","	","	","	","	","	","	","	","	13","	","	","	","	","	","	"
"	225738246716","	5ed8c29a6a972845f41c0e29","	Santander","	Spain","	Windows","	Windows","	","	","	213.177.199.131","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Cantabria","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	10","	0","	","	","	","	","	","	","	1","	6","	","	","	","	","	","	"
"	273003612734","	60d477b0e9e7fd17b802f3c8","	Madrid","	Spain","	Mac","	Mac","	","	","	83.39.214.207","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Madrid","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	null","	","	https://app.holded.com/tp/bisiesto","	https://app.holded.com/tp/bisiesto","	referal","	","	true","	","	","	","	","	","	","	","	","	","	5","	","	","	","	","	","	"
"	255223204416","	5e6d4c3f6a972853f65ab301","	Madrid","	Spain","	Android","	Android","	","	","	47.60.38.202","	Spanish","	amplitude-js/8.1.0","	Edge 46","	Web","	Madrid","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	10","	0","	","	","	","	","	","	","	1","	24","	","	","	","	","	","	"
"	170497534530","	5eeba1f26a972855d67c9472","	Madrid","	Spain","	Apple iPhone","	Apple iPhone","	","	","	176.87.55.51","	Spanish","	amplitude-js/8.1.0","	WebKit 605","	Web","	Madrid","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	10","	0","	","	","	","	","	","	","	1","	26","	","	","	","	","	","	"
"	293929470531","	61306ba887f940690e597e92","	León","	Spain","	Windows","	Windows","	","	","	92.176.31.89","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Leon","	","	","	","	","	","	","	604642d14447cd101d1ac76e","	604643bfa8d73e2c76206a30","	referral","	team_invite","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	false","	","	","	","	","	","	","	","	","	","	1","	","	604642d14447cd101d1ac76e","	604643bfa8d73e2c76206a30","	referral","	team_invite","	"
"	271134042691","	60cbc128f1ccff441900035e","	Valencia","	Spain","	Windows","	Windows","	","	","	170.253.33.137","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Valencia","	","	","	","	","	","	","	","	","	","	","	","	","	","	1","	","	","	","	","	","	","	","	","	['(none)']","	direct","	false","	10","	0","	services","	spreadsheet","	invoicing","	browsing","	never","	Search engine","	1","	21","	1","	","	","	","	","	"
